011000015,"FEDERAL RESERVE BANK;1000 PEACHTREE ST N.E.;ATLANTA, GA 30309-4470"
011000028,"STATE STREET BANK AND TRUST COMPANY;JAB2NW;N. QUINCY, MA 02171-0000"
011000138,"BANK OF AMERICA, N.A.;8001 VILLA PARK DRIVE;HENRICO, VA 23228-0000"
011000206,"BANK OF AMERICA N.A;PO BOX 27025;RICHMOND, VA 23261-7025"
011000390,"BANK OF AMERICA N.A;PO BOX 27025;RICHMOND, VA 23261-7025"
011000536,"FEDERAL HOME LOAN BK BOST;9TH FLOOR;BOSTON, MA 02199-0000"
011001234,"MELLON TRUST OF NEW ENGLAND, N.A.;SUITE 960;PITTSBURGH, PA 15262-0001"
011001276,"ONEUNITED BANK;3683 CRENSHAW BL;LOS ANGELES, CA 90016-0000"
011001331,"RBS CITIZENS, NATIONAL ASSOCIATION;1 CITIZENS DRIVE;RIVERSIDE, RI 02915-0000"
011001726,"THE FIRST NATIONAL BANK OF IPSWICH;31 MARKET ST;IPSWICH, MA 01938-0000"
011001742,"BANK OF AMERICA, N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
011001881,"FIDUCIARY TRUST CO;CASH MGMT;BOSTON, MA 02205-5806"
011001962,"CATHAY BANK;RS-14;ROSEMEAD, CA 91770-0000"
011002343,"BOSTON PRIVATE BK + TR CO;ATTN: ACH ORPERATIONS;BOSTON, MA 02109-4603"
011002550,"EASTERN BANK;195 MARKET STREET;LYNN, MA 01901-0000"
011002725,"MERCANTILE BK & TR CO;61 BROOKLINE AVENUE;BOSTON, MA 02215-0000"
011002864,"RBS CITIZENS, NATIONAL ASSOCIATION;1 CITIZENS DRIVE;RIVERSIDE, RI 02915-0000"
011002877,"EAST WEST BANK;9300 FLAIR DRIVE, 4TH FLOOR;EL MONTE, CA 91731-0000"
011075150,"SOVEREIGN BANK;601 PENN STREET;READING, PA 19601-0000"
011075202,"SOVEREIGN BANK;601 PENN STREET;READING, PA 19601-0000"
011099071,"FRB BOSTON HUMAN RESOURCES;1000 PEACHTREE STREET NE;ATLANTA, GA 30309-0000"
011099660,"FRB BOSTON ACCOUNTING DEPT.;1000 PEACHTREE STREET NE;ATLANTA, GA 30309-0000"
011100012,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
011100106,"WELLS FARGO BANK;MAC N9301-041;MINNEAPOLIS, MN 55479-0000"
011100805,"BANK OF AMERICA N.A;PO BOX 27025;RICHMOND, VA 23261-7025"
011100892,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
011100915,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
011101529,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
011101613,"WEBSTER BANK;436 SLATER RD;NEW BRITAIN, CT 06053-0000"
011101752,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
011102133,"CITIZENS NATIONAL BANK;182 MAIN ST;PUTMAN, CT 06260-1933"
011102353,"FIRST NAT BANK OF SUFFIELD;30 BRIDGE STREET;SUFFIELD, CT 06078-0000"
011102502,"UNION SAVINGS BANK;225 MAIN ST;DANBURY, CT 06810-0000"
011102612,"SALISBURY BANK & TRUST CO;PO BOX 757;CANAAN, CT 06018-0000"
011102638,"NATIONAL IRON BANK;PO BOX 565;SALISBURY, CT 06068-0000"
011102667,"SALISBURY BANK & TRUST CO.;94 MAIN ST;CANAAN, CT 06018-0000"
011103080,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
011103093,"TD BANK NA;PO BOX 1377;LEWISTON, ME 04240-1377"
011103129,"JEWETT CITY SAVINGS BANK;135 DARLING DR;AVON, CT 06001-4218"
011104047,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
011104050,"WEBSTER BANK;436 SLATER RD;NEW BRITAIN, CT 06053-0000"
011104131,"PEOPLES BANK;850 MAIN STREET;BRIDGEPORT, CT 06601-0000"
011104173,"FIRST NIAGARA BANK, NA;PO BOX 886;LOCKPORT, NY 14095-0886"
011104199,"PEOPLES BANK;850 MAIN STREET;BRIDGEPORT, CT 06601-0000"
011104209,"WEBSTER BANK;436 SLATER RD;NEW BRITAIN, CT 06053-0000"
011104283,"SAVINGS INSTITUTE;803 MAIN ST;WILLAMANTIC, CT 06226-0000"
011104322,"WEBSTER BANK N.A;436 SLATER ROAD;NEW BRITAIN, CT 06053-0000"
011104335,"PRIME BANK;7 OLD TAVERN ROAD;ORANGE, CT 06477-0696"
011104351,"SIMSBURY BANK & TRUST;760 HOPEMEADOW STREET;SIMSBURY, CT 06070-0000"
011110552,"RBS CITIZENS, NATIONAL ASSOCIATION;1 CITIZENS DRIVE;RIVERSIDE, RI 02915-0000"
011110617,"BANKERS' BANK NORTHEAST;SUITE 125;GLASTONBURY, CT 06033-0000"
011110620,"NAUGATUCK SAVINGS BANK;PO BOX 370;NAUGATUCK, CT 06770-0370"
011110633,"NEW ENGLAND BANK;4 RIVERSIDE AVE.;BRISTOL, CT 06010-0000"
011110646,"NEW ENGLAND BANK;4 RIVERSIDE AVE.;BRISTOL, CT 06010-0000"
011110659,"THE BANK OF SOUTHERN CONNECTICUT;215 CHURCH STREET;NEW HAVEN, CT 06510-0000"
011110675,"WEBSTER BANK;132 GRAND ST;WATERBURY, CT 06702-1909"
011110688,"LIBERTY BANK;315 MAIN ST.;MIDDLETOWN, CT 06457-0000"
011110701,"WEBSTER BANK N.A.;436 SLATER RD;NEW BRITAIN, CT 06053-0000"
011110730,"QUINNIPIAC BANK & TRUST;2600 DIXWELL AVENUE;HAMDEN, CT 06514-0000"
011110743,"THE CITIZENS NATIONAL BANK;182 MAIN ST, PO BOX 6002;PUTNAM, CT 06260-0000"
011110756,"START COMMUNITY BANK;299 WHALLEY AVENUE;NEW HAVEN, CT 06511-0000"
011175212,"INSURBANC;10 EXECUTIVE DRIVE;FARMINGTON, CT 06032-0000"
011175319,"ROCKVILLE BANK;25 PARK ST;ROCKVILLE, CT 06066-0000"
011175351,"DIME BANK;290 SALEM TURNPIKE;NORWICH, CT 06360-0000"
011200022,"KEY BANK NATIONAL ASSOCIATION;OH 01-51-0640;BROOKLYN, OH 44144-0000"
011200051,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
011200365,"BANK OF AMERICA, N.A.;8001 VILLA PARK DRIVE;HENRICO, VA 23228-0000"
011200475,"BANGOR SAVINGS BANK;19 MAIN AVE.;BANGOR, ME 04401-0000"
011200585,"DAMARISCOTTA BK&TR CO;P. O. BOX 999;DAMARISCOTTA, ME 04543-0999"
011200608,"KEY BANK NATIONAL ASSOCIATION;OH 01-51-0640;BROOKLYN, OH 44144-0000"
011201115,"BORDER TRUST COMPANY;227 WATER ST;AUGUSTA, ME 04330-0000"
011201306,"CAMDEN NATIONAL BANK;245 COMMERCIAL STREET;ROCKPORT, ME 04856-0000"
011201335,"TD BANK NA;PO BOX 1377;LEWISTON, ME 04240-1377"
011201380,"CAMDEN NATIONAL BANK;245 COMMERCIAL STREET;ROCKPORT, ME 04856-0000"
011201403,"NORTHEAST BANK, FSB;500 CANAL ST.;LEWISTON, ME 04240-0000"
011201432,"PEOPLE'S UNITED BANK;850 MAIN STREET;BRIDGEPORT, CT 06601-0000"
011201458,"CAMDEN NATIONAL BANK;245 COMMERCIAL STREET;ROCKPORT, ME 04856-0000"
011201490,"SAVINGS BANK OF MAINE;190 WATER ST;GARDINER, ME 04345-0190"
011201500,"PEOPLE'S UNITED BANK;850 MAIN STREET;BRIDGEPORT, CT 06601-0000"
011201526,"PEOPLE'S UNITED BANK;850 MAIN STREET;BRIDGEPORT, CT 06601-0000"
011201539,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
011201759,"BAR HARBOR BANK & TRUST;P. O. BOX 1089;ELLSWORTH, ME 04605-1089"
011201762,"THE FIRST, N.A.;7 BRISTOL ROAD;DAMARISCOTTA, ME 04543-0000"
011201830,"THE FIRST, N.A.;7 BRISTOL ROAD;DAMARISCOTTA, ME 04543-0000"
011201995,"ANDROSCOGGIN SAVINGS BANK;PO BOX 1407;LEWISTON, ME 04243-7116"
011202392,"KATAHDIN TRUST COMPANY;P. O. BOX 36;HOULTON, ME 04730-0000"
011202907,"SAVINGS BANK OF MAINE;190 WATER ST;GARDINER, ME 04345-0190"
011202910,"TD BANK USA, NA;140 MILL STREET;LEWISTON, ME 04240-0000"
011202923,"DAMARISCOTTA BANK & TRUST COMPANY;PO BOX 999;DAMARISCOTTA, ME 04543-0000"
011275251,"BANGOR SAVINGS BK;19 MAINE AVE;BANGOR, ME 04401-0000"
